书名,别名,作者,作者国籍,出版社,出版时间,价格,评价,评价人数,是否可试读,链接
离开的，留下的,  那不勒斯四部曲3 ,埃莱娜·费兰特陈英,意, 人民文学出版社 , 2017-10 , 62.00,探索中年的虚无、困惑、野心和近乎残暴的爱,55455,可试读,https://book.douban.com/subject/27104959/
鹿鼎记,无别名,金庸 ,中, 广州出版社 花城出版社 , 2008-3 , 108.00,武侠的解构，流氓的狂欢,51739,不可试读,https://book.douban.com/subject/1212893/
罪与罚,Преступление и наказание,陀思妥耶夫斯基岳麟,俄, 上海译文出版社 , 2006-8 , 23.00,描绘人内心的全部深度,25918,不可试读,https://book.douban.com/subject/1858568/
叫魂,  1768年中国妖术大恐慌 ,孔飞力陈兼,美, 生活·读书·新知三联书店 上海三联书店 , 2012-5 , 38.00,1768年中国妖术大恐慌,24298,不可试读,https://book.douban.com/subject/10471333/
美丽新世界,"BRAVE NEW WORLD,  BRAVE NEW WORLD REVISITED",赫胥黎陈超,英, 上海译文出版社 , 2017-6 , 45.00,无热评,34105,可试读,https://book.douban.com/subject/27002046/
梦里花落知多少,无别名,三毛 ,中, 北京十月文艺出版社 , 2007-6 , 28.00,哀而不伤,90857,不可试读,https://book.douban.com/subject/2070844/
金色梦乡,ゴールデンスランバー,伊坂幸太郎李彦桦,日, 译林出版社 , 2010-9 , 35.00,伊坂幸太郎代表作,25608,不可试读,https://book.douban.com/subject/5038409/
边城,无别名,沈从文 ,中, 北岳文艺出版社 , 2002-4 , 12.00,一切充满了善，然而到处是不凑巧,209542,不可试读,https://book.douban.com/subject/1057244/
陆犯焉识,无别名,严歌苓 ,中, 作家出版社 , 2011-10 , 35.00,翻手为苍凉，覆手为繁华,52179,不可试读,https://book.douban.com/subject/6880158/
这些人，那些事,无别名,吴念真 ,中, 译林出版社 , 2011-9 , 28.00,平淡叙述下的惊心动魄,62624,可试读,https://book.douban.com/subject/6388661/
时间简史,  插图本 ,史蒂芬·霍金许明贤,英, 湖南科学技术出版社 , 2010-4 , 45.00,探索时间和空间的核心秘密,56644,不可试读,https://book.douban.com/subject/1034282/
王尔德童话,The tales of Oscar Wilde,王尔德王林,英, 译林出版社 , 2003-6 , 6.00,一颗纯美纯善、永难泯灭的童心,20726,不可试读,https://book.douban.com/subject/1119839/
你当像鸟飞往你的山,EducatedA Memoir,塔拉·韦斯特弗任爱红,美, 南海出版公司 , 2019-10 , 59.00,我来自一个极少有人能想象的家庭，教育给了我新世界,138856,不可试读,https://book.douban.com/subject/33440205/
秋园,无别名,杨本芬 ,中, 北京联合出版公司 , 2020-6 , 38.00,无热评,32188,可试读,https://book.douban.com/subject/34998019/
受戒,  汪曾祺自选集 ,汪曾祺 ,中, 漓江出版社 , 1987-10 , 3.95,江南乡镇民间生活，健康淳朴的人性,20179,不可试读,https://book.douban.com/subject/1760432/
十万个为什么,无别名,,中,少年儿童出版社 , 1962 , 30.00,无热评,15852,不可试读,https://book.douban.com/subject/2160556/
小径分岔的花园,无别名,博尔赫斯王永年,阿根廷, 上海译文出版社 , 2015-7 , 23.00,一个谜语，谜底正是时间,31772,可试读,https://book.douban.com/subject/25796120/
昨日的世界,  一个欧洲人的回忆 ,斯蒂芬·茨威格舒昌善,奥, 广西师范大学出版社 , 2004-5-1 , 32.00,一个高贵而残破的昨日镜像,12895,不可试读,https://book.douban.com/subject/1062343/
置身事内,  中国政府与经济发展 ,兰小欢 ,中, 上海人民出版社 , 2021-8 , 65.00,无热评,22436,可试读,https://book.douban.com/subject/35546622/
一个陌生女人的来信,Brief einer Unbekannten,斯蒂芬·茨威格张玉书,奥, 上海译文出版社 , 2007-7 , 20.00,暗恋的极致,130867,不可试读,https://book.douban.com/subject/2154960/
失明症漫记,Ensaio sobre a Cegueira,若泽·萨拉马戈范维信,葡, 南海出版公司 , 2014-2 , 29.50,失明症迅速蔓延，整个城市陷入一场空前的灾难,21766,不可试读,https://book.douban.com/subject/20428302/
故事,  材质·结构·风格和银幕剧作的原理 ,罗伯特·麦基周铁东,美, 天津人民出版社 , 2014-9 , 68.00,材质、结构、风格和银幕剧作的原理,15504,可试读,https://book.douban.com/subject/25976544/
刘擎西方现代思想讲义,无别名,刘擎 ,中, 新星出版社 , 2021-1 , 79.00,无热评,17594,不可试读,https://book.douban.com/subject/35313227/
